Crop_Name,Encoded_Value,Record_Count
Arecanut,0,162
Arhar/Tur,1,508
Bajra,2,524
Banana,3,245
Barley,4,297
Black pepper,5,126
Cardamom,6,74
Cashewnut,7,134
Castor seed,8,300
Coconut ,9,172
Coriander,10,199
Cotton(lint),11,476
Cowpea(Lobia),12,134
Dry chillies,13,419
Garlic,14,250
Ginger,15,323
Gram,16,490
Groundnut,17,725
Guar seed,18,63
Horse-gram,19,371
Jowar,20,513
Jute,21,181
Khesari,22,75
Linseed,23,308
Maize,24,975
Masoor,25,324
Mesta,26,210
Moong(Green Gram),27,740
Moth,28,110
Niger seed,29,192
Oilseeds total,30,29
Onion,31,454
Other  Rabi pulses,32,355
Other Cereals,33,146
Other Kharif pulses,34,382
Other Summer Pulses,35,10
Peas & beans (Pulses),36,369
Potato,37,628
Ragi,38,498
Rapeseed &Mustard,39,528
Rice,40,1197
Safflower,41,169
Sannhamp,42,160
Sesamum,43,685
Small millets,44,485
Soyabean,45,349
Sugarcane,46,605
Sunflower,47,441
Sweet potato,48,273
Tapioca,49,201
Tobacco,50,364
Turmeric,51,337
Urad,52,733
Wheat,53,545
other oilseeds,54,126
