Crop_Name,Encoded_Value
Arecanut,0
Arhar/Tur,1
Bajra,2
Banana,3
Barley,4
Black pepper,5
Cardamom,6
Cashewnut,7
Castor seed,8
Coconut ,9
Coriander,10
Cotton(lint),11
Cowpea(Lobia),12
Dry chillies,13
Garlic,14
Ginger,15
Gram,16
Groundnut,17
Guar seed,18
Horse-gram,19
Jowar,20
Jute,21
Khesari,22
Linseed,23
Maize,24
Masoor,25
Mesta,26
Moong(Green Gram),27
Moth,28
Niger seed,29
Oilseeds total,30
Onion,31
Other  Rabi pulses,32
Other Cereals,33
Other Kharif pulses,34
Other Summer Pulses,35
Peas & beans (Pulses),36
Potato,37
Ragi,38
Rapeseed &Mustard,39
Rice,40
Safflower,41
Sannhamp,42
Sesamum,43
Small millets,44
Soyabean,45
Sugarcane,46
Sunflower,47
Sweet potato,48
Tapioca,49
Tobacco,50
Turmeric,51
Urad,52
Wheat,53
other oilseeds,54
