soil_moisture,Moisture_Trend,Precipitation,weather_humidity,MaxT,MinT,Water_Sensitivity,Irrigation_Decision,Alert_Status,ID
49.36,-2.38,5.72,68.3,38.0,19.3,1,1,0,1
63.77,-2.53,8.05,25.5,37.2,18.3,2,1,0,2
58.3,4.06,7.6,88.5,22.4,14.4,2,0,0,3
54.97,-2.5,1.54,65.2,43.1,25.2,0,1,1,4
43.9,-2.28,1.49,24.1,34.2,21.9,0,0,1,5
43.9,2.59,2.68,96.6,29.1,31.6,2,1,1,6
41.45,-0.5,3.61,56.7,38.9,10.8,1,0,1,7
61.65,2.77,4.08,16.6,26.4,26.1,2,1,1,8
55.03,-4.35,6.8,66.4,37.3,29.1,0,1,0,9
57.7,-0.12,0.57,32.8,21.0,29.0,0,1,0,10
40.51,-4.66,0.35,82.3,41.0,32.2,2,0,1,11
64.25,-4.37,3.92,83.6,31.2,28.2,1,1,1,12
60.81,4.06,6.97,98.1,35.9,33.2,1,0,0,13
45.31,-3.61,1.93,55.2,25.5,18.3,0,0,1,14
44.55,0.32,6.42,50.9,36.9,22.6,2,0,1,15
44.59,-0.89,2.6,77.8,39.3,10.4,2,0,1,16
47.61,-1.53,8.86,21.9,31.8,10.2,0,1,1,17
53.12,4.0,8.96,59.2,35.4,16.0,2,1,1,18
50.8,-4.78,2.97,59.2,31.4,12.5,0,1,0,19
47.28,1.64,2.3,18.1,42.4,16.5,1,0,0,20
55.3,4.63,4.11,47.6,32.4,14.4,1,1,1,21
43.49,0.6,2.41,86.8,41.0,10.7,2,0,1,22
47.3,4.37,6.72,87.1,40.0,32.7,1,0,0,23
49.16,-4.48,8.26,18.9,30.3,10.2,1,0,1,24
51.4,-0.81,6.73,18.2,25.8,28.4,0,1,0,25
59.63,-2.4,8.24,33.6,30.2,13.8,0,0,1,26
44.99,2.31,3.97,88.7,40.7,32.8,2,1,0,27
52.86,4.81,1.56,21.6,25.7,32.3,0,1,0,28
54.81,-2.43,7.38,74.8,33.1,26.3,2,1,1,29
41.16,1.54,3.6,19.1,40.2,26.8,2,0,1,30
55.19,-3.02,6.71,66.1,28.8,10.1,0,1,0,31
44.26,0.65,2.71,42.0,36.1,34.6,1,0,1,32
41.63,-0.36,0.81,81.0,26.1,31.9,1,0,0,33
63.72,4.72,9.93,31.0,22.7,32.4,1,0,1,34
64.14,1.09,1.56,67.5,39.9,26.5,1,0,1,35
60.21,-1.5,9.88,31.2,22.5,18.6,2,1,1,36
47.62,-3.86,9.77,74.2,26.8,32.3,1,1,0,37
42.44,-3.49,7.94,88.6,41.4,17.3,2,1,0,38
57.11,-2.75,6.59,21.4,28.7,24.1,0,1,1,39
51.0,-2.49,5.78,88.0,44.3,12.5,0,0,0,40
43.05,3.51,8.66,63.4,44.5,33.0,2,0,1,41
52.38,0.61,2.89,21.4,26.7,13.5,1,0,0,42
40.86,0.23,4.68,48.5,21.0,15.6,2,0,1,43
62.73,-3.85,6.19,24.5,37.6,24.0,1,1,0,44
46.47,3.6,4.11,73.0,31.3,29.1,1,1,0,45
56.56,2.23,4.27,78.3,22.5,25.5,2,0,0,46
47.79,-4.32,3.3,19.5,37.7,15.8,2,0,0,47
53.0,2.08,5.64,55.6,20.8,10.0,1,0,0,48
53.67,0.44,8.51,83.3,41.8,28.9,2,0,0,49
44.62,-4.18,2.02,94.3,23.5,34.6,1,1,1,50
64.24,-0.42,9.34,56.2,23.2,30.2,2,0,1,51
59.38,-0.15,6.89,95.5,24.4,21.5,0,1,0,52
63.49,-3.34,8.23,58.2,44.0,32.6,1,1,1,53
62.37,4.46,5.56,45.5,37.3,20.2,0,0,0,54
54.95,3.5,7.8,86.3,40.0,23.1,2,0,1,55
63.05,1.69,0.16,54.4,29.9,21.9,0,1,1,56
42.21,-0.38,8.18,52.5,28.4,21.2,2,1,1,57
44.9,-0.88,0.4,54.1,25.9,29.4,1,0,1,58
41.13,1.51,8.9,86.2,32.0,23.2,2,1,0,59
48.13,0.45,9.92,84.9,33.8,17.9,2,0,1,60
49.72,-4.38,2.94,46.3,35.8,16.5,1,0,1,61
46.78,0.13,2.1,40.0,26.4,10.9,2,1,1,62
60.72,3.06,7.65,54.3,43.7,24.6,1,1,0,63
48.92,-0.41,2.53,61.5,24.2,15.7,2,0,1,64
47.02,-4.48,8.66,31.5,44.1,13.7,1,0,0,65
53.57,2.86,1.03,81.5,20.4,26.3,0,1,0,66
43.52,-2.99,1.26,53.8,32.0,27.0,2,1,1,67
60.05,-2.41,9.79,40.1,28.3,28.8,2,1,0,68
41.86,-3.35,6.74,19.6,31.2,22.6,2,1,1,69
64.67,-1.7,8.47,31.5,34.3,32.4,1,0,1,70
59.31,2.57,3.24,95.4,30.9,33.4,2,0,1,71
44.97,0.19,6.76,37.5,30.4,30.2,1,0,1,72
40.14,-2.95,5.94,25.2,38.3,25.9,2,1,1,73
60.39,3.78,6.03,51.5,37.1,17.6,0,1,1,74
57.67,3.8,6.83,37.6,40.8,34.6,2,0,1,75
58.23,3.71,5.75,13.2,26.2,16.9,0,1,0,76
59.28,-2.61,4.29,39.1,35.2,15.1,1,1,0,77
41.85,-0.49,2.76,59.0,34.6,21.1,0,1,1,78
48.96,4.85,7.69,59.7,29.2,11.4,2,1,1,79
42.9,2.72,2.26,42.1,32.2,34.5,2,1,0,80
61.58,-4.73,6.92,50.3,27.8,24.7,1,1,1,81
55.58,-4.35,2.33,96.9,23.5,23.9,2,0,0,82
48.27,-0.36,6.25,44.0,25.3,26.4,2,0,0,83
41.59,4.09,7.47,33.2,22.6,22.4,1,0,1,84
47.77,0.39,2.19,31.9,37.1,10.8,1,0,1,85
48.13,-0.02,0.6,51.2,36.5,25.3,0,1,0,86
58.24,-3.95,1.31,78.4,43.8,27.9,1,0,0,87
55.94,1.57,6.06,28.5,38.2,20.4,2,0,1,88
62.18,3.22,8.49,73.8,21.3,28.9,1,0,1,89
51.81,-1.2,0.45,11.9,42.1,15.7,2,0,0,90
42.99,2.76,7.34,47.7,41.6,15.5,0,1,0,91
57.83,4.64,3.41,79.8,31.1,14.0,1,1,0,92
59.02,-2.96,4.79,40.5,34.6,19.3,2,0,1,93
54.03,0.23,9.29,60.7,44.4,31.2,1,0,1,94
59.27,-2.13,3.32,28.4,33.3,30.7,1,1,1,95
52.34,2.93,4.65,76.8,42.6,19.6,1,1,0,96
53.07,0.78,0.14,14.7,22.1,24.7,1,0,0,97
50.69,1.35,0.82,86.7,24.8,28.0,0,1,1,98
40.64,2.98,2.59,27.8,31.0,16.0,2,1,0,99
42.7,-1.04,0.28,88.7,34.6,14.2,1,0,0,100
40.79,4.15,6.31,41.7,40.4,34.3,2,1,0,101
55.91,0.33,4.26,75.0,44.7,25.4,0,0,0,102
47.86,-3.42,5.48,38.7,29.7,34.5,2,0,0,103
52.71,1.96,1.75,91.5,21.2,18.4,2,1,1,104
62.69,2.93,2.96,21.4,40.0,27.6,0,1,1,105
46.23,-1.83,6.64,26.1,35.1,15.6,1,1,1,106
50.26,3.57,9.65,54.4,25.0,16.5,2,1,1,107
58.89,4.06,0.5,17.4,32.4,22.8,2,1,1,108
45.72,-2.23,8.9,27.6,38.6,18.0,1,1,0,109
41.92,4.84,5.77,94.9,39.3,14.2,1,0,0,110
47.24,-3.59,5.64,97.9,32.5,16.6,2,1,0,111
44.03,-2.98,5.0,43.9,27.6,10.9,0,0,1,112
63.24,-3.16,0.69,93.1,44.3,27.6,1,1,0,113
60.2,3.94,0.9,59.0,36.6,22.3,1,1,0,114
55.84,1.54,6.01,34.3,30.2,12.4,0,1,0,115
61.79,-3.48,3.41,73.2,27.0,14.3,2,1,1,116
60.09,-0.6,9.17,69.3,38.3,12.6,1,1,0,117
44.66,1.15,4.07,99.0,26.1,25.3,2,0,0,118
62.31,-4.17,1.43,33.9,24.3,12.4,2,0,1,119
53.48,3.82,7.15,70.5,33.2,28.9,2,0,1,120
60.19,3.04,2.93,14.7,27.2,10.5,0,1,0,121
62.4,0.05,5.25,20.2,35.7,16.2,2,1,1,122
47.95,4.67,6.98,10.4,22.9,32.3,2,1,0,123
42.75,-0.82,9.0,100.0,36.4,28.0,1,0,1,124
45.7,4.84,7.92,82.2,27.1,11.8,1,0,0,125
